# Depth(m)	Temperature(C)
1.600000000000000000e+05	1.397805900621118099e+03
1.560000000000000000e+05	1.387751639751552830e+03
1.520000000000000000e+05	1.377697378881987561e+03
1.480000000000000000e+05	1.363456894409938059e+03
1.440000000000000000e+05	1.345030186335403869e+03
1.400000000000000000e+05	1.326603478260869679e+03
1.360000000000000000e+05	1.297664173913043669e+03
1.320000000000000000e+05	1.268724869565217659e+03
1.280000000000000000e+05	1.237129192546584136e+03
1.240000000000000000e+05	1.202877142857143099e+03
1.200000000000000000e+05	1.168625093167702062e+03
1.160000000000000000e+05	1.134040322981366671e+03
1.120000000000000000e+05	1.099455552795031053e+03
1.080000000000000000e+05	1.064753121739130393e+03
1.040000000000000000e+05	1.029933029813664461e+03
1.000000000000000000e+05	9.951129378881986440e+02
9.600000000000000000e+04	9.598912285714285417e+02
9.200000000000000000e+04	9.246695192546584394e+02
8.800000000000000000e+04	8.891196608695653367e+02
8.400000000000000000e+04	8.532416534161491199e+02
8.000000000000000000e+04	8.173636459627329032e+02
7.600000000000000000e+04	7.786331987577639211e+02
7.200000000000000000e+04	7.399027515527949390e+02
6.800000000000000000e+04	6.965279167701862661e+02
6.400000000000000000e+04	6.485086944099379025e+02
6.000000000000000000e+04	6.004894720496894251e+02
5.600000000000000000e+04	5.332881925465839004e+02
5.200000000000000000e+04	4.660869130434782619e+02
4.800000000000000000e+04	3.872057279503105747e+02
4.400000000000000000e+04	2.966446372670807818e+02
4.000000000000000000e+04	2.060835465838509322e+02
3.600000000000000000e+04	1.236501279503105479e+02
3.200000000000000000e+04	4.121670931677018501e+01
2.800000000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
4.000000000000000000e+03	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
