# lon lat thick
9.828400000000000603e+01 -3.680799999999999983e+01 9.400000000000000000e+01
1.007169999999999987e+02 -3.689699999999999847e+01 9.400000000000000000e+01
7.731600000000000250e+01 -3.256600000000000250e+01 1.450000000000000000e+02
7.960800000000000409e+01 -3.293900000000000006e+01 1.350000000000000000e+02
8.191599999999999682e+01 -3.328199999999999648e+01 1.650000000000000000e+02
8.423799999999999955e+01 -3.359599999999999653e+01 1.690000000000000000e+02
8.657399999999999807e+01 -3.387899999999999778e+01 1.630000000000000000e+02
8.892300000000000182e+01 -3.413000000000000256e+01 1.640000000000000000e+02
9.128300000000000125e+01 -3.434899999999999665e+01 1.780000000000000000e+02
9.365300000000000580e+01 -3.453600000000000136e+01 1.380000000000000000e+02
9.603100000000000591e+01 -3.468999999999999773e+01 1.020000000000000000e+02
9.841599999999999682e+01 -3.481099999999999994e+01 9.400000000000000000e+01
1.008059999999999974e+02 -3.489800000000000324e+01 9.400000000000000000e+01
8.459499999999999886e+01 -3.161899999999999977e+01 2.020000000000000000e+02
8.689499999999999602e+01 -3.189699999999999847e+01 1.840000000000000000e+02
8.920600000000000307e+01 -3.214399999999999835e+01 1.630000000000000000e+02
9.152800000000000580e+01 -3.235999999999999943e+01 1.590000000000000000e+02
9.385899999999999466e+01 -3.254399999999999693e+01 1.370000000000000000e+02
9.619799999999999329e+01 -3.269500000000000028e+01 9.700000000000000000e+01
9.854200000000000159e+01 -3.281400000000000006e+01 9.400000000000000000e+01
1.008919999999999959e+02 -3.289900000000000091e+01 9.400000000000000000e+01
8.947799999999999443e+01 -3.015800000000000125e+01 1.610000000000000000e+02
9.176300000000000523e+01 -3.037000000000000099e+01 1.550000000000000000e+02
9.405599999999999739e+01 -3.055099999999999838e+01 1.450000000000000000e+02
9.635699999999999932e+01 -3.069999999999999929e+01 9.900000000000000000e+01
9.866299999999999670e+01 -3.081599999999999895e+01 9.400000000000000000e+01
8.973799999999999955e+01 -2.817099999999999937e+01 1.340000000000000000e+02
9.198799999999999955e+01 -2.837999999999999901e+01 1.580000000000000000e+02
9.424500000000000455e+01 -2.855799999999999983e+01 1.820000000000000000e+02
4.874600000000000222e+01 -7.789000000000000057e+01 1.600000000000000000e+02
4.874300000000000210e+01 -7.792499999999999716e+01 1.600000000000000000e+02
4.873400000000000176e+01 -7.795900000000000318e+01 1.590000000000000000e+02
4.871900000000000119e+01 -7.799399999999999977e+01 1.580000000000000000e+02
4.869800000000000040e+01 -7.802899999999999636e+01 1.570000000000000000e+02
4.867099999999999937e+01 -7.806300000000000239e+01 1.560000000000000000e+02
4.863799999999999812e+01 -7.809799999999999898e+01 1.550000000000000000e+02
4.859899999999999665e+01 -7.813200000000000500e+01 1.540000000000000000e+02
4.855400000000000205e+01 -7.816500000000000625e+01 1.530000000000000000e+02
4.850300000000000011e+01 -7.819899999999999807e+01 1.510000000000000000e+02
4.844599999999999795e+01 -7.823099999999999454e+01 1.500000000000000000e+02
4.838300000000000267e+01 -7.826399999999999579e+01 1.490000000000000000e+02
4.831499999999999773e+01 -7.829600000000000648e+01 1.480000000000000000e+02
4.824000000000000199e+01 -7.832699999999999818e+01 1.470000000000000000e+02
4.815999999999999659e+01 -7.835800000000000409e+01 1.460000000000000000e+02
4.807399999999999807e+01 -7.838899999999999579e+01 1.460000000000000000e+02
4.798199999999999932e+01 -7.841800000000000637e+01 1.450000000000000000e+02
4.788499999999999801e+01 -7.844700000000000273e+01 1.450000000000000000e+02
4.778199999999999648e+01 -7.847499999999999432e+01 1.440000000000000000e+02
4.767399999999999949e+01 -7.850300000000000011e+01 1.430000000000000000e+02
4.756099999999999994e+01 -7.852899999999999636e+01 1.430000000000000000e+02
4.744200000000000017e+01 -7.855500000000000682e+01 1.430000000000000000e+02
4.731900000000000261e+01 -7.857999999999999829e+01 1.420000000000000000e+02
4.719100000000000250e+01 -7.860399999999999920e+01 1.420000000000000000e+02
4.705799999999999983e+01 -7.862699999999999534e+01 1.420000000000000000e+02
4.692000000000000171e+01 -7.864900000000000091e+01 1.420000000000000000e+02
4.677900000000000347e+01 -7.867000000000000171e+01 1.420000000000000000e+02
4.663300000000000267e+01 -7.868999999999999773e+01 1.420000000000000000e+02
4.648299999999999699e+01 -7.870900000000000318e+01 1.420000000000000000e+02
4.632900000000000063e+01 -7.872700000000000387e+01 1.420000000000000000e+02
4.617199999999999704e+01 -7.874299999999999500e+01 1.420000000000000000e+02
4.601100000000000279e+01 -7.875900000000000034e+01 1.420000000000000000e+02
4.584799999999999898e+01 -7.877299999999999613e+01 1.420000000000000000e+02
4.568099999999999739e+01 -7.878600000000000136e+01 1.430000000000000000e+02
4.551200000000000045e+01 -7.879800000000000182e+01 1.430000000000000000e+02
4.534100000000000108e+01 -7.880800000000000693e+01 1.430000000000000000e+02
4.516799999999999926e+01 -7.881799999999999784e+01 1.430000000000000000e+02
4.499199999999999733e+01 -7.882599999999999341e+01 1.440000000000000000e+02
4.481600000000000250e+01 -7.883199999999999363e+01 1.440000000000000000e+02
4.463700000000000045e+01 -7.883799999999999386e+01 1.440000000000000000e+02
4.445799999999999841e+01 -7.884199999999999875e+01 1.440000000000000000e+02
4.427900000000000347e+01 -7.884499999999999886e+01 1.450000000000000000e+02
4.409799999999999898e+01 -7.884600000000000364e+01 1.450000000000000000e+02
4.391799999999999926e+01 -7.884600000000000364e+01 1.460000000000000000e+02
4.373700000000000188e+01 -7.884499999999999886e+01 1.460000000000000000e+02
4.355799999999999983e+01 -7.884300000000000352e+01 1.470000000000000000e+02
4.337800000000000011e+01 -7.883899999999999864e+01 1.480000000000000000e+02
4.320000000000000284e+01 -7.883400000000000318e+01 1.490000000000000000e+02
4.302300000000000324e+01 -7.882699999999999818e+01 1.500000000000000000e+02
4.284700000000000131e+01 -7.881900000000000261e+01 1.500000000000000000e+02
